"0","Country","Country_code","Series","Series_code","Year","Number"
"2115","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","23.4543625796754"
"2135","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2155","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","21.8646179426163"
"2175","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","22.2698444288159"
"2195","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","15.7100234088465"
"2215","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","50.9964507902026"
"2235","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2255","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","12.516624506511"
"2275","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","12.6760568934735"
"2295","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","2.89507889386174"
"2315","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2335","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2355","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","83.399544253766"
"2375","Korea, Dem. People’s Rep.","PRK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2395","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2415","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2435","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","21.0180639184808"
"2455","Pakistan","PAK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","10.8536162680716"
"2475","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","137.128496503497"
"2495","Sri Lanka","LKA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","27.4899349061218"
"2515","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","18.3630078077808"
"2535","Timor-Leste","TMP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2555","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2575","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","5.911587758305"
"2595","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","6.03373787164968"
"2615","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","36.7870742941576"
"2635","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","13.4226557146787"
"2655","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","30.1880287093422"
"2675","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1980","7.47988022083256"
