"","Year","Country","Production","Number"
"241","000","Philippines","EmployIndustry","16.2000007629395"
"242","005","Philippines","EmployIndustry","15.6000003814697"
"243","010","Philippines","EmployIndustry","15"
"244","015","Philippines","EmployIndustry","0"
"245","960","Philippines","EmployIndustry","0"
"246","965","Philippines","EmployIndustry","0"
"247","970","Philippines","EmployIndustry","0"
"248","975","Philippines","EmployIndustry","0"
"249","980","Philippines","EmployIndustry","15.3999996185303"
"250","985","Philippines","EmployIndustry","13.8000001907349"
"251","990","Philippines","EmployIndustry","15"
"252","995","Philippines","EmployIndustry","15.6000003814697"
"253","000","Singapore","EmployIndustry","0"
"254","005","Singapore","EmployIndustry","21.7000007629395"
"255","010","Singapore","EmployIndustry","30.3999996185303"
"256","015","Singapore","EmployIndustry","0"
"257","960","Singapore","EmployIndustry","0"
"258","965","Singapore","EmployIndustry","0"
"259","970","Singapore","EmployIndustry","0"
"260","975","Singapore","EmployIndustry","0"
"261","980","Singapore","EmployIndustry","35.7000007629395"
"262","985","Singapore","EmployIndustry","35.2000007629395"
"263","990","Singapore","EmployIndustry","37.9000015258789"
"264","995","Singapore","EmployIndustry","31"
"265","000","Thailand","EmployIndustry","17.8999996185303"
"266","005","Thailand","EmployIndustry","20.2000007629395"
"267","010","Thailand","EmployIndustry","20.6000003814697"
"268","015","Thailand","EmployIndustry","0"
"269","960","Thailand","EmployIndustry","0"
"270","965","Thailand","EmployIndustry","0"
"271","970","Thailand","EmployIndustry","0"
"272","975","Thailand","EmployIndustry","0"
"273","980","Thailand","EmployIndustry","10.3000001907349"
"274","985","Thailand","EmployIndustry","0"
"275","990","Thailand","EmployIndustry","13.6000003814697"
"276","995","Thailand","EmployIndustry","18.8999996185303"
"277","000","Vietnam","EmployIndustry","12.3999996185303"
"278","005","Vietnam","EmployIndustry","0"
"279","010","Vietnam","EmployIndustry","0"
"280","015","Vietnam","EmployIndustry","0"
"281","960","Vietnam","EmployIndustry","0"
"282","965","Vietnam","EmployIndustry","0"
"283","970","Vietnam","EmployIndustry","0"
"284","975","Vietnam","EmployIndustry","0"
"285","980","Vietnam","EmployIndustry","0"
"286","985","Vietnam","EmployIndustry","0"
"287","990","Vietnam","EmployIndustry","0"
"288","995","Vietnam","EmployIndustry","0"
"289","000","Cambodia","EmployProduction","17.8999996185303"
"290","005","Cambodia","EmployProduction","0"
"291","010","Cambodia","EmployProduction","29.6000003814697"
"292","015","Cambodia","EmployProduction","0"
"293","960","Cambodia","EmployProduction","0"
"294","965","Cambodia","EmployProduction","0"
"295","970","Cambodia","EmployProduction","0"
"296","975","Cambodia","EmployProduction","0"
"297","980","Cambodia","EmployProduction","0"
"298","985","Cambodia","EmployProduction","0"
"299","990","Cambodia","EmployProduction","0"
"300","995","Cambodia","EmployProduction","0"
"301","000","China","EmployProduction","12.6999998092651"
"302","005","China","EmployProduction","49.5"
